time,open,high,low,close,Volume,Volume
1611914400,1464.33,1538.33,1434.8,1523.15,2180908,1225892.6
1611921600,1523.14,1545,1503.35,1540.83,1451532,1236110.8
1611928800,1541.58,1554.88,1475.66,1502.28,2948075,1346685.95
1611936000,1502.63,1514.12,1460.56,1465.08,1780114,1375307.1
1611943200,1466.13,1474.72,1389.66,1434.99,2841080,1483137.75
1611950400,1434.63,1466.99,1417.62,1459.97,648940,1500036.55
1611957600,1460.57,1505.4,1458.39,1469.03,905960,1513094.4
1611964800,1470.1,1500.17,1447,1450.68,799466,1528558.95
1611972000,1451.58,1457.73,1384.74,1404.69,1203363,1532972.8
1611979200,1404.78,1418.45,1390.25,1399.09,485086,1509409.05
1611986400,1398.87,1428.31,1388.51,1416.71,821662,1478502.8
1611993600,1416.35,1422.25,1400.79,1409.97,399015,1461580.95
1612000800,1410.89,1422.18,1399.7,1402.4,543078,1469433.65
1612008000,1401.83,1436.67,1389.97,1435.7,491333,1473507.1
1612015200,1436.44,1456.43,1430.5,1448.06,683687,1475420.8
1612022400,1447.75,1455.57,1416.96,1449.91,861039,1464076.75
1612029600,1449.91,1462.99,1442.4,1454.18,413315,1445796.1
1612036800,1454.6,1472.97,1453,1469.72,836194,1425497.05
1612044000,1470.38,1480.18,1455.19,1461.99,473659,1411284.45
1612051200,1461.97,1465.25,1441.54,1456.1,367170,1056733.8
1612058400,1456.2,1461.57,1432.99,1438.45,461334,970755.1
1612065600,1438.41,1445.51,1423.11,1429.5,299439,913150.45
1612072800,1429.05,1435.4,1418.96,1422.6,374793,784486.35
1612080000,1423.22,1434.18,1414.72,1419.94,567924,723876.85
1612087200,1418.52,1439.87,1415.49,1436.24,323047,597975.2
1612094400,1435.96,1460.7,1427.27,1431.9,676693,599362.85
1612101600,1431.29,1434.16,1357.15,1380.88,1543591,631244.4
1612108800,1380.91,1390.62,1346.79,1352.9,908505,636696.35
1612116000,1352.92,1380.2,1342.31,1375.26,801022,616579.3
1612123200,1375.15,1385,1360.48,1364.87,528092,618729.6
1612130400,1365.06,1395.98,1365.05,1388.52,711980,613245.5
1612137600,1387.58,1398,1336.37,1393.4,1366998,661644.65
1612144800,1393.58,1401.06,1381.77,1394.29,440442,656512.85
1612152000,1396.59,1412.02,1389.94,1402.44,726088,668250.6
1612159200,1401.89,1425.07,1376.05,1397.41,1375848,702858.65
1612166400,1398.73,1427.08,1388.86,1417.55,666153,693114.35
1612173600,1417.64,1437.7,1410.99,1427.11,864498,715673.5
1612180800,1427.58,1437.45,1411.31,1412.11,643961,706061.85
1612188000,1411.68,1414.66,1378.7,1378.7,770187,720888.25
1612195200,1378.72,1404.14,1377.22,1400.74,481800,726619.75
1612202400,1401.93,1417.99,1398.64,1416.27,352159,721161
1612209600,1415.75,1437.99,1412.96,1436.35,432896,727833.85
1612216800,1436.19,1466.77,1429.02,1463.46,719777,745083.05
1612224000,1463.07,1507.64,1457.1,1477.01,1854407,809407.2
1612231200,1476.78,1486.26,1454.55,1462.66,689595,827734.6
1612238400,1462.87,1495.42,1461.59,1487.1,708413,829320.6
1612245600,1487.01,1534.65,1487.01,1522.83,1118069,808044.5
1612252800,1522.81,1584.73,1512.5,1554.52,2272288,876233.65
1612260000,1554.66,1567.99,1523.48,1536.77,1788115,925588.3
1612267200,1537.41,1570.04,1522.76,1542.56,1564069,977387.15
1612274400,1542.89,1559.91,1520.94,1535.99,1838068,1033691.55
1612281600,1536,1630.46,1528.78,1597.42,2821707,1106427
1612288800,1598.81,1649.99,1592.63,1648.59,935626,1131186.2
1612296000,1649.01,1675.61,1627.92,1652,1440922,1166927.9
1612303200,1652.59,1683.8,1640.98,1643.06,589569,1127613.95
1612310400,1643.01,1668.84,1643.01,1655.63,877545,1138183.55
1612317600,1655.07,1688,1641.73,1676.81,704677,1130192.5
1612324800,1677.66,1703.07,1675.58,1682.71,440911,1120040
1612332000,1681.26,1712.39,1680.37,1685.1,423951,1102728.2
1612339200,1685.53,1687.8,1645.9,1664.24,1381661,1147721.25
1612346400,1663.49,1698.89,1656.28,1671.53,1022826,1181254.6
1612353600,1671.26,1705.76,1658,1690.28,1014390,1210329.3
1612360800,1690.7,1749.25,1675.53,1746.19,1178567,1233268.8
1612368000,1746.18,1792.69,1723,1790.22,1408165,1210956.7
1612375200,1789.73,1800.97,1763.91,1764.96,851191,1219036.5
1612382400,1764.01,1792.28,1747.89,1776.5,790234,1223127.55
1612389600,1777.11,1820.56,1773.35,1815.99,546751,1194561.65
1612396800,1815,1853.45,1811.52,1846.86,1467372,1154315.85
1612404000,1848.08,1851.56,1779.46,1793.87,1108605,1120340.35
1612411200,1795.86,1819,1783.66,1801.75,342682,1059271
1612418400,1800.54,1833.5,1794.49,1807.74,585103,996622.75
1612425600,1810.18,1837.1,1654.98,1786.7,3018942,1006484.5
1612432800,1787.38,1793.79,1749.89,1750.13,842862,1001846.3
1612440000,1750.13,1788.37,1737.47,1773.87,733036,966452
1612447200,1774.44,1783.54,1687.37,1713.49,1831470,1028547.05
1612454400,1714.45,1787.86,1697.37,1770.62,1260287,1047684.15
1612461600,1770.62,1812.36,1768.9,1796.55,1649258,1094913.2
